Colaborador_gen;Celula;Categoria;Especialidade;Nivel
Colaborador 4;PMO;Redes;Cabeamento;Intermediario
Colaborador 4;PMO;Redes;Estrutura de Redes;Intermediario
Colaborador 4;PMO;Redes;Roteador Cisco;Intermediario
Colaborador 4;PMO;Redes;Switches Cisco;Intermediario
Colaborador 4;PMO;Redes;Wi-Fi;Intermediario
Colaborador 4;PMO;SO;Linux Debian;Intermediario
Colaborador 4;PMO;SO;Linux Red Hat;Intermediario
Colaborador 4;PMO;Telefonia;Digitro/Asterisk;Intermediario
Colaborador 4;PMO;Telefonia;Unify;Intermediario
Colaborador 6;SOC;Cloud;AWS;Intermediario
Colaborador 6;SOC;Desenvolvimento;CSS;Intermediario
Colaborador 6;SOC;Desenvolvimento;HTML;Intermediario
Colaborador 6;SOC;Desenvolvimento;PHP;Intermediario
Colaborador 6;SOC;E-mails/Collab;Exchange;Intermediario
Colaborador 6;SOC;E-mails/Collab;Sharepoint;Intermediario
Colaborador 6;SOC;Firewall;Cisco;Intermediario
Colaborador 6;SOC;Firewall;Sophos;Intermediario
Colaborador 6;SOC;Monitoramento;MonitoraIT;Intermediario
Colaborador 6;SOC;Monitoramento;Nagios;Intermediario
Colaborador 6;SOC;Monitoramento;RMM;Intermediario
Colaborador 6;SOC;Monitoramento;Zabbix;Intermediario
Colaborador 6;SOC;Segurança;SIEM;Intermediario
Colaborador 6;SOC;Segurança;Sophos;Intermediario
Colaborador 6;SOC;Servidores;Failover Cluster;Intermediario
Colaborador 7;DEV;Database;Linguagem SQL;Intermediario
Colaborador 7;DEV;Database;MySQL;Intermediario
Colaborador 7;DEV;Database;SQL Server ;Intermediario
Colaborador 7;DEV;Desenvolvimento;Delphi;Intermediario
Colaborador 7;DEV;Desenvolvimento;VB6;Intermediario
Colaborador 7;DEV;Devops;Azure Devops;Intermediario
Colaborador 7;DEV;Devops;Git;Intermediario
Colaborador 7;DEV;E-mails/Collab;Power Apps;Intermediario
Colaborador 7;DEV;E-mails/Collab;Power Automate ;Intermediario
Colaborador 7;DEV;SO;MACOS;Intermediario
Colaborador 7;DEV;SO;Windows;Intermediario
Colaborador 8;TECH;Database;MySQL;Intermediario
Colaborador 8;TECH;E-mails/Collab;ETL SQL Integration;Intermediario
Colaborador 8;TECH;Servidores;Windows Server;Intermediario
Colaborador 9;NOC;E-mails/Collab;Exchange;Intermediario
Colaborador 9;NOC;E-mails/Collab;Office 365;Intermediario
Colaborador 9;NOC;Firewalls;Sophos;Intermediario
Colaborador 9;NOC;Firewalls;Windows Firewall;Intermediario
Colaborador 9;NOC;Monitoramento;Service Now;Intermediario
Colaborador 9;NOC;Segurança;Antivirus KasperSky;Intermediario
Colaborador 9;NOC;Segurança;Antivirus Trend;Intermediario
Colaborador 9;NOC;Segurança;VPN;Intermediario
